dt, 10.0
universe, Universe
G, 6.67E-11
Body Name, Earth
Initial Pos X, 1.392249254417041E8
Initial Pos Y, 5.364591584781469E7
Initial Pos Z, -2404.13046965003
,
time, x, y, z, magnitude
0.0,1.392248135435152E8,5.364619258707686E7,-2404.14709402611,1.4920275698222283E8
10000.0,1.3911263843509465E8,5.392282530149569E7,-2420.8905757699677,1.4919784605258116E8
20000.0,1.389999102774457E8,5.4199244425975546E7,-2437.870522870198,1.4919293937525263E8
30000.0,1.3888662942568523E8,5.447544889998678E7,-2455.0845551346956,1.491880369604417E8
40000.0,1.3877279623561844E8,5.475143766287604E7,-2472.5301332941376,1.491831388170851E8
50000.0,1.3865841106374648E8,5.502720965383116E7,-2490.2045590345087,1.491782449528439E8
60000.0,1.385434742672757E8,5.5302763811843835E7,-2508.1049751137216,1.491733553740964E8
70000.0,1.3842798620412928E8,5.557809907567406E7,-2526.2283655632614,1.4916847008593294E8
80000.0,1.383119472329533E8,5.5853214383813135E7,-2544.5715559760974,1.4916358909214506E8
90000.0,1.3819535771313348E8,5.61281086744468E7,-2563.13121388136,1.4915871239522374E8
100000.0,1.3807821800480422E8,5.640278088541969E7,-2581.903849206901,1.4915383999635118E8
110000.0,1.379605284688648E8,5.667722995419764E7,-2600.8858148302734,1.4914897189539745E8
120000.0,1.3784228946699402E8,5.695145481783047E7,-2620.073307218912,1.4914410809091568E8
130000.0,1.377235013616632E8,5.7225454412917145E7,-2639.462367160069,1.491392485801362E8
140000.0,1.3760416451615715E8,5.749922767556744E7,-2659.0488805813056,1.491343933589664E8
150000.0,1.3748427929458654E8,5.777277354136566E7,-2678.828579461978,1.4912954242198265E8
160000.0,1.3736384606191024E8,5.804609094533409E7,-2698.7970428365256,1.4912469576243123E8
170000.0,1.3724286518395528E8,5.831917882189649E7,-2718.9496978900615,1.4911985337222657E8
180000.0,1.3712133702743542E8,5.8592036104841985E7,-2739.2818211470308,1.4911501524194774E8
190000.0,1.369992619599739E8,5.886466172728764E7,-2759.7885397536916,1.4911018136083797E8
200000.0,1.368766403501256E8,5.913705462164282E7,-2780.4648328551525,1.4910535171680388E8
210000.0,1.367534725674013E8,5.940921371957304E7,-2801.3055330678817,1.4910052629641584E8
220000.0,1.3662975898229238E8,5.968113795196346E7,-2822.305328048748,1.490957050849085E8
230000.0,1.3650549996629652E8,5.9952826248882994E7,-2843.4587621615547,1.4909088806618124E8
240000.0,1.363806958919441E8,6.0224277539549306E7,-2864.760238242337,1.4908607522280025E8
250000.0,1.3625534713282678E8,6.049549075229163E7,-2886.2040194649,1.490812665360001E8
