dt, 100.0
universe, Universe
G, 6.67E-11
Body Name, Mars
Initial Pos X, -2.471842535143256E8
Initial Pos Y, 8154525.045308748
Initial Pos Z, 6235730.264151237
,
time, x, y, z, magnitude
0.0,-2.4718424312650502E8,8152310.561461164,6235683.605719065,2.473972392076037E8
100000.0,-2.4716301523513898E8,5937501.542846301,6188752.3903385345,2.473117681810669E8
200000.0,-2.4712011535479686E8,3722171.9437752757,6141278.527681689,2.4722443503606534E8
300000.0,-2.4705552427691627E8,1506515.6652003732,6093265.609580823,2.471352454648676E8
400000.0,-2.4696922418522042E8,-709272.9545616119,6044717.271193947,2.470442052946444E8
500000.0,-2.468611986632401E8,-2924999.142794475,5995637.191127346,2.4695132048799554E8
600000.0,-2.4673143270199063E8,-5140467.695435816,5946029.09155971,2.468565971434882E8
700000.0,-2.4657991270780167E8,-7355482.980222356,5895896.738368492,2.4676004149620524E8
800000.0,-2.4640662651029477E8,-9569848.93993109,5845243.941257717,2.466616599182974E8
900000.0,-2.4621156337052009E8,-1.1783369095719947E7,5794074.553887552,2.4656145891955134E8
1000000.0,-2.4599471398924083E8,-1.3995846550572084E7,5742392.474005432,2.4645944514796153E8
1100000.0,-2.457560705153756E8,-1.6207083992847867E7,5690201.643578758,2.4635562539031675E8
1200000.0,-2.4549562655459034E8,-1.8416883699947756E7,5637506.048928831,2.4625000657279179E8
1300000.0,-2.4521337717803776E8,-2.0625047542091023E7,5584309.720866343,2.4614259576154363E8
1400000.0,-2.4490931893125784E8,-2.2831376986213986E7,5530616.734827798,2.460334001633249E8
1500000.0,-2.445834498432241E8,-2.5035673099991675E7,5476431.211013315,2.459224271260991E8
1600000.0,-2.442357694355442E8,-2.723773655598693E7,5421757.314525411,2.458096841396678E8
1700000.0,-2.438662787318068E8,-2.9437367635932337E7,5366599.255508579,2.4569517883630025E8
1800000.0,-2.4347498026708582E8,-3.163436623514727E7,5310961.289289928,2.455789189913776E8
1900000.0,-2.4306187809758964E8,-3.3828531867096044E7,5254847.716520361,2.4546091252404013E8
2000000.0,-2.426269778104592E8,-3.6019663668090455E7,5198262.88331651,2.4534116749784058E8
2100000.0,-2.421702865337189E8,-3.820756040214211E7,5141211.181403141,2.4521969212140903E8
2200000.0,-2.4169181294637248E8,-4.039202046596689E7,5083697.048256018,2.450964947491209E8
2300000.0,-2.4119156728864706E8,-4.2572841894149296E7,5025724.967245006,2.4497158388177308E8
2400000.0,-2.4066956137238398E8,-4.474982236446807E7,4967299.467777364,2.448449681672665E8
2500000.0,-2.4012580859157318E8,-4.692275920338883E7,4908425.125441207,2.447166564012922E8
2600000.0,-2.3956032393303755E8,-4.9091449391729124E7,4849106.562148818,2.4458665752802965E8
