dt, 10.0
universe, Universe
G, 6.67E-11
Body Name, Mars
Initial Pos X, -2.471842535143256E8
Initial Pos Y, 8154525.045308748
Initial Pos Z, 6235730.264151237
,
time, x, y, z, magnitude
0.0,-2.4718425247554356E8,8154303.596923989,6235725.598308019,2.473973152901653E8
10000.0,-2.4718310532423493E8,7932851.669542781,6231057.021934594,2.4738885133520746E8
20000.0,-2.4718174163680798E8,7711392.792906808,6226382.9870639695,2.4738036870882416E8
30000.0,-2.4718016139218327E8,7489927.160321924,6221703.4972295975,2.4737186741652766E8
40000.0,-2.471783645694177E8,7268454.965138273,6217018.555969197,2.4736334746384206E8
50000.0,-2.471763511477065E8,7046976.40075016,6212328.166824876,2.4735480885630536E8
60000.0,-2.4717412110638404E8,6825491.660596104,6207632.333342958,2.4734625159946984E8
70000.0,-2.4717167442492205E8,6604000.9381588185,6202931.059074128,2.4733767569890052E8
80000.0,-2.4716901108293006E8,6382504.426965191,6198224.347573426,2.4732908116017553E8
90000.0,-2.4716613106015497E8,6161002.320586113,6193512.202400169,2.473204679888853E8
100000.0,-2.4716303433648536E8,5939494.812636719,6188794.627117964,2.4731183619063732E8
110000.0,-2.4715972089194527E8,5717982.0967760505,6184071.625294799,2.473031857710493E8
120000.0,-2.471561907066983E8,5496464.366707283,6179343.2005029535,2.4729451673575357E8
130000.0,-2.4715244376104602E8,5274941.816177538,6174609.356319031,2.4728582909039533E8
140000.0,-2.471484800354311E8,5053414.638977953,6169870.09632396,2.472771228406357E8
150000.0,-2.4714429951043165E8,4831883.028943563,6165125.424102976,2.472683979921459E8
160000.0,-2.471399021667648E8,4610347.179953395,6160375.343245639,2.4725965455061093E8
170000.0,-2.4713528798528787E8,4388807.285930288,6155619.857345871,2.4725089252173057E8
180000.0,-2.4713045694699743E8,4167263.5408409545,6150858.970001862,2.4724211191121837E8
190000.0,-2.4712540903302926E8,3945716.1386959758,6146092.68481622,2.4723331272480157E8
200000.0,-2.4712014422465616E8,3724165.2735496857,6141321.00539582,2.472244949682189E8
210000.0,-2.4711466250329074E8,3502611.1395002315,6136543.935351862,2.4721565864722311E8
220000.0,-2.4710896385048592E8,3281053.930689478,6131761.478299924,2.4720680376758164E8
230000.0,-2.4710304824793345E8,3059493.8413029993,6126973.637859872,2.4719793033507487E8
240000.0,-2.47096915677466E8,2837931.0655700737,6122180.417655953,2.4718903835549828E8
250000.0,-2.4709056612105155E8,2616365.7977636186,6117381.8213166725,2.471801278346567E8
260000.0,-2.4708399956080222E8,2394798.232200186,6112577.852474942,2.4717119877837312E8
270000.0,-2.470772159789658E8,2173228.563239915,6107768.514768,2.4716225119248E8
280000.0,-2.470702153579325E8,1951656.9852865315,6102953.811837412,2.4715328508282626E8
290000.0,-2.4706299768023086E8,1730083.6927872638,6098133.747329086,2.4714430045527273E8
300000.0,-2.470555629285301E8,1508508.8802328703,6093308.324893316,2.4713529731569478E8
310000.0,-2.470479110856388E8,1286932.74215758,6088477.54818468,2.4712627566998067E8
320000.0,-2.4704004213450667E8,1065355.4731390656,6083641.420862115,2.4711723552403343E8
330000.0,-2.4703195605822107E8,843777.2677984262,6078799.94658891,2.471081768837672E8
340000.0,-2.4702365284001198E8,622198.320800131,6073953.129032711,2.4709909975511214E8
350000.0,-2.470151324632476E8,400618.82685201534,6069100.971865514,2.4709000414401E8
360000.0,-2.4700639491143933E8,179038.9807052366,6064243.478763631,2.4708089005641907E8
370000.0,-2.4699744016823465E8,-42541.022845753374,6059380.65340778,2.470717574983069E8
380000.0,-2.469882682174253E8,-264120.98896323575,6054512.499482966,2.4706260647565836E8
390000.0,-2.469788790429425E8,-485700.72276626143,6049639.0206786,2.4705343699447095E8
400000.0,-2.4696927262885475E8,-707280.0293306764,6044760.22068844,2.4704424906075245E8
410000.0,-2.4695944895937565E8,-928858.7136891528,6039876.103210551,2.4703504268052864E8
420000.0,-2.4694940801885855E8,-1150436.5808312276,6034986.671947459,2.4702581785983783E8
430000.0,-2.4693914979179725E8,-1372013.4357033193,6030091.930605956,2.470165746047317E8
440000.0,-2.469286742628259E8,-1593589.0832087784,6025191.882897182,2.4700731292127493E8
450000.0,-2.4691798141671926E8,-1815163.3282078924,6020286.532536735,2.4699803281554538E8
460000.0,-2.4690707123839453E8,-2036735.9755179512,6015375.883244457,2.46988734293636E8
470000.0,-2.4689594371290854E8,-2258306.829913244,6010459.938744642,2.469794173616518E8
480000.0,-2.468845988254603E8,-2479875.6961251223,6005538.702765966,2.4697008202571243E8
490000.0,-2.4687303656139043E8,-2701442.378841999,6000612.179041379,2.4696072829195145E8
500000.0,-2.4686125690617996E8,-2923006.6827094145,5995680.371308248,2.4695135616651517E8
510000.0,-2.468492598454522E8,-3144568.4123300267,5990743.283308332,2.469419656555643E8
520000.0,-2.4683704536497176E8,-3366127.372263664,5985800.918787729,2.4693255676527303E8
530000.0,-2.4682461345064807E8,-3587683.3670274056,5980853.281496886,2.4692312950183237E8
540000.0,-2.4681196408852154E8,-3809236.2010955275,5975900.375190669,2.469136838714363E8
550000.0,-2.4679909726478556E8,-4030785.6788995937,5970942.203628297,2.4690421988030374E8
560000.0,-2.4678601296577132E8,-4252331.604828432,5965978.770573356,2.4689473753466314E8
570000.0,-2.4677271117795184E8,-4473873.783228265,5961010.079793856,2.4688523684075662E8
580000.0,-2.4675919188794333E8,-4695412.018402665,5956036.135062094,2.4687571780484116E8
590000.0,-2.4674545508250362E8,-4916946.114612554,5951056.940154842,2.4686618043318686E8
600000.0,-2.467315007485314E8,-5138475.876076349,5946072.498853197,2.4685662473207638E8
610000.0,-2.4671732887306795E8,-5360001.106969918,5941082.814942649,2.468470507078063E8
620000.0,-2.4670293944329834E8,-5581521.611426562,5936087.892213056,2.468374583666884E8
630000.0,-2.466883324465491E8,-5803037.193537196,5931087.734458686,2.4682784771504724E8
640000.0,-2.4667350787028873E8,-6024547.657350267,5926082.345478175,2.468182187592206E8
650000.0,-2.4665846570212844E8,-6246052.8068718165,5921071.729074562,2.4680857150556007E8
660000.0,-2.466432059298234E8,-6467552.446065526,5916055.889055285,2.467989059604323E8
670000.0,-2.4662772854127038E8,-6689046.378852715,5911034.829232123,2.467892221302166E8
680000.0,-2.4661203352450952E8,-6910534.409112398,5906008.55342126,2.467795200213065E8
690000.0,-2.4659612086772174E8,-7132016.340681379,5900977.065443274,2.467697996401072E8
700000.0,-2.4657999055923536E8,-7353491.977354147,5895940.369123194,2.467600609930421E8
710000.0,-2.4656364258751756E8,-7574961.122883052,5890898.46829038,2.4675030408654413E8
720000.0,-2.465470769411792E8,-7796423.580978256,5885851.3667786,2.4674052892706048E8
730000.0,-2.4653029360897705E8,-8017879.155307738,5880799.068426015,2.4673073552105492E8
740000.0,-2.4651329257980976E8,-8239327.64949746,5875741.577075202,2.4672092387500343E8
750000.0,-2.464960738427178E8,-8460768.867131276,5870678.896573113,2.467110939953943E8
760000.0,-2.4647863738688666E8,-8682202.611750951,5865611.030771145,2.467012458887311E8
770000.0,-2.464609832016458E8,-8903628.686856357,5860537.983525047,2.4669137956153163E8
780000.0,-2.4644311127646732E8,-9125046.895905353,5855459.758694995,2.466814950203266E8
790000.0,-2.4642502160096788E8,-9346457.042313812,5850376.360145566,2.466715922716612E8
800000.0,-2.464067141649058E8,-9567858.929455828,5845287.791745702,2.4666167132209226E8
810000.0,-2.4638818895818666E8,-9789252.36066357,5840194.057368841,2.4665173217819408E8
820000.0,-2.4636944597085756E8,-1.0010637139227392E7,5835095.16089281,2.46641774846552E8
830000.0,-2.4635048519311047E8,-1.0232013068395872E7,5829991.106199761,2.4663179933376622E8
840000.0,-2.4633130661528027E8,-1.0453379951375771E7,5824881.897176349,2.4662180564644948E8
850000.0,-2.4631191022784954E8,-1.0674737591332272E7,5819767.537713608,2.466117937912318E8
860000.0,-2.462922960214412E8,-1.0896085791388748E7,5814648.031706986,2.4660176377475315E8
870000.0,-2.4627246398682496E8,-1.1117424354626914E7,5809523.383056339,2.4659171560366973E8
880000.0,-2.4625241411491364E8,-1.1338753084086979E7,5804393.595665935,2.4658164928465018E8
890000.0,-2.4623214639676398E8,-1.1560071782767432E7,5799258.673444492,2.4657156482437643E8
900000.0,-2.4621166082358015E8,-1.1781380253625402E7,5794118.62030512,2.4656146222954705E8
910000.0,-2.461909573867093E8,-1.200267829957634E7,5788973.440165352,2.4655134150687268E8
920000.0,-2.461700360776436E8,-1.222396572349427E7,5783823.136947157,2.4654120266307822E8
930000.0,-2.461488968880198E8,-1.244524232821187E7,5778667.71457691,2.4653104570490187E8
940000.0,-2.461275398096198E8,-1.2666507916520396E7,5773507.176985442,2.465208706390961E8
950000.0,-2.4610596483437106E8,-1.288776229116964E7,5768341.52810797,2.4651067747242773E8
960000.0,-2.4608417195434463E8,-1.3109005254868183E7,5763170.771884141,2.465004662116758E8
970000.0,-2.4606216116176015E8,-1.3330236610283261E7,5757994.91225812,2.4649023686363676E8
980000.0,-2.460399324489779E8,-1.3551456160040978E7,5752813.953178369,2.464799894351162E8
990000.0,-2.4601748580850828E8,-1.3772663706725897E7,5747627.8985978365,2.4646972393293843E8
1000000.0,-2.4599482123300365E8,-1.3993859052881794E7,5742436.752473945,2.4645944036393797E8
1010000.0,-2.4597193871526352E8,-1.4215042001011135E7,5737240.5187684605,2.464491387349651E8
1020000.0,-2.459488382482337E8,-1.4436212353575325E7,5732039.2014476685,2.4643881905288437E8
1030000.0,-2.4592551982500294E8,-1.4657369912994554E7,5726832.80448226,2.4642848132457167E8
1040000.0,-2.4590198343880972E8,-1.4878514481648158E7,5721621.331847385,2.4641812555692065E8
1050000.0,-2.4587822908303678E8,-1.5099645861874433E7,5716404.787522586,2.4640775175683728E8
1060000.0,-2.458542567512113E8,-1.5320763855970675E7,5711183.175491902,2.4639735993123984E8
1070000.0,-2.4583006643700662E8,-1.5541868266193302E7,5705956.499743736,2.4638695008706075E8
1080000.0,-2.458056581342466E8,-1.5762958894757912E7,5700724.764271056,2.4637652223125055E8
1090000.0,-2.4578103183689716E8,-1.5984035543839112E7,5695487.973071117,2.4636607637076977E8
1100000.0,-2.4575618753907156E8,-1.6205098015570873E7,5690246.130145787,2.463556125125937E8
1110000.0,-2.4573112523502976E8,-1.6426146112046214E7,5684999.239501272,2.463451306637119E8
1120000.0,-2.457058449191781E8,-1.6647179635317696E7,5679747.305148238,2.463346308311279E8
1130000.0,-2.4568034658607098E8,-1.686819838739691E7,5674490.331101844,2.463241130218605E8
1140000.0,-2.4565463023040596E8,-1.7089202170255058E7,5669228.321381635,2.46313577242939E8
1150000.0,-2.4562869584703043E8,-1.731019078582244E7,5663961.2800117,2.463030235014098E8
1160000.0,-2.4560254343093854E8,-1.7531164035989042E7,5658689.211020531,2.4629245180433306E8
1170000.0,-2.4557617297727075E8,-1.775212172260414E7,5653412.118441027,2.462818621587824E8
1180000.0,-2.4554958448131502E8,-1.7973063647476748E7,5648130.006310636,2.4627125457184583E8
1190000.0,-2.4552277793850446E8,-1.8193989612375252E7,5642842.878671213,2.4626062905062342E8
1200000.0,-2.4549575334442267E8,-1.8414899419027593E7,5637550.739569127,2.4624998560223255E8
1210000.0,-2.4546851069479772E8,-1.8635792869121354E7,5632253.593055086,2.4623932423380166E8
1220000.0,-2.454410499855081E8,-1.8856669764303733E7,5626951.443184368,2.4622864495247635E8
1230000.0,-2.4541337121257684E8,-1.907752990618193E7,5621644.29401671,2.4621794776541322E8
1240000.0,-2.4538547437217626E8,-1.929837309632268E7,5616332.149616276,2.4620723267978472E8
1250000.0,-2.4535735946062633E8,-1.951919913625235E7,5611015.014051724,2.461964997027772E8
1260000.0,-2.453290264743947E8,-1.9740007827457413E7,5605692.891396182,2.4618574884159112E8
1270000.0,-2.453004754100941E8,-1.996079897138409E7,5600365.785727196,2.4617498010343808E8
1280000.0,-2.4527170626449123E8,-2.01815723694384E7,5595033.701126827,2.461641934955498E8
1290000.0,-2.4524271903449628E8,-2.040232782298639E7,5589696.641681585,2.461533890251676E8
1300000.0,-2.4521351371716887E8,-2.062306513335424E7,5584354.6114825,2.4614256669954818E8
1310000.0,-2.45184090309717E8,-2.0843784101827957E7,5579007.614625048,2.4613172652596238E8
1320000.0,-2.451544488094952E8,-2.106448452965367E7,5573655.655209171,2.461208685116934E8
1330000.0,-2.4512458921401072E8,-2.1285166218037523E7,5568298.737339308,2.461099926640429E8
1340000.0,-2.450945115209149E8,-2.1505828968145993E7,5562936.865124358,2.460990989903222E8
1350000.0,-2.4506421572801024E8,-2.1726472581105646E7,5557570.042677702,2.460881874978593E8
1360000.0,-2.4503370183324653E8,-2.1947096858003326E7,5552198.274117226,2.4607725819399494E8
1370000.0,-2.450029698347234E8,-2.2167701599886116E7,5546821.56356528,2.460663110860851E8
1380000.0,-2.4497201973068786E8,-2.2388286607761364E7,5541439.9151486885,2.4605534618149832E8
1390000.0,-2.449408515195382E8,-2.2608851682596862E7,5536053.3329988,2.460443634876197E8
1400000.0,-2.4490946519982156E8,-2.2829396625320733E7,5530661.821251442,2.4603336301184818E8
1410000.0,-2.448778607702308E8,-2.3049921236821648E7,5525265.384046882,2.460223447615935E8
1420000.0,-2.4484603822961128E8,-2.327042531794853E7,5519864.025529937,2.4601130874428275E8
1430000.0,-2.448139975769577E8,-2.349090866951096E7,5514457.749849869,2.4600025496735737E8
1440000.0,-2.4478173881141278E8,-2.3711371092279326E7,5509046.561160457,2.4598918343827134E8
1450000.0,-2.447492619322697E8,-2.393181238698424E7,5503630.46361998,2.4597809416449398E8
1460000.0,-2.4471656693897134E8,-2.4152232354317192E7,5498209.461391214,2.4596698715350866E8
1470000.0,-2.446836538311093E8,-2.4372630794930227E7,5492783.55864144,2.4595586241281214E8
1480000.0,-2.4465052260842717E8,-2.45930075094363E7,5487352.759542368,2.4594471994991758E8
1490000.0,-2.4461717327081496E8,-2.481336229840889E7,5481917.0682703145,2.4593355977234867E8
1500000.0,-2.4458360581831554E8,-2.503369496238255E7,5476476.48900603,2.459223818876464E8
1510000.0,-2.4454982025112072E8,-2.5254005301852502E7,5471031.025934794,2.459111863033648E8
1520000.0,-2.445158165695725E8,-2.5474293117275115E7,5465580.683246344,2.4589997302707204E8
1530000.0,-2.444815947741657E8,-2.56945582090675E7,5460125.4651349895,2.458887420663531E8
1540000.0,-2.444471548655406E8,-2.591480037760786E7,5454665.375799518,2.4587749342880246E8
1550000.0,-2.444124968444921E8,-2.6135019423235428E7,5449200.419443213,2.4586622712203282E8
1560000.0,-2.4437762071196458E8,-2.635521514625052E7,5443730.60027384,2.4585494315367004E8
1570000.0,-2.4434252646905115E8,-2.65753873469145E7,5438255.922503747,2.4584364153135252E8
1580000.0,-2.4430721411699897E8,-2.6795535825449906E7,5432776.3903498,2.4583232226273602E8
1590000.0,-2.4427168365720358E8,-2.7015660382040758E7,5427292.008033287,2.4582098535548827E8
1600000.0,-2.442359350912129E8,-2.7235760816832025E7,5421802.779780071,2.4580963081729257E8
1610000.0,-2.4419996842072496E8,-2.745583692993022E7,5416308.709820557,2.457982586558458E8
1620000.0,-2.4416378364758828E8,-2.7675888521402873E7,5410809.802389604,2.4578686887885824E8
1630000.0,-2.441273807738048E8,-2.789591539127933E7,5405306.061726645,2.4577546149405688E8
1640000.0,-2.440907598015267E8,-2.811591733955006E7,5399797.492075593,2.4576403650918177E8
1650000.0,-2.4405392073305598E8,-2.8335894166167144E7,5394284.097684949,2.4575259393198586E8
1660000.0,-2.4401686357084987E8,-2.8555845671044238E7,5388765.882807665,2.4574113377023995E8
1670000.0,-2.4397958831751406E8,-2.8775771654056426E7,5383242.85170124,2.4572965603172612E8
1680000.0,-2.439420949758066E8,-2.899567191504054E7,5377715.008627692,2.457181607242414E8
1690000.0,-2.4390438354863748E8,-2.9215546253794994E7,5372182.357853629,2.4570664785559738E8
1700000.0,-2.4386645403906965E8,-2.943539447008012E7,5366644.9036500985,2.456951174336209E8
1710000.0,-2.4382830645031583E8,-2.9655216363617763E7,5361102.650292733,2.456835694661511E8
1720000.0,-2.4378994078574383E8,-2.987501173409152E7,5355555.602061719,2.456720039610443E8
1730000.0,-2.4375135704887137E8,-3.0094780381147265E7,5350003.763241686,2.4566042092616907E8
1740000.0,-2.4371255524336964E8,-3.0314522104392488E7,5344447.1381219,2.456488203694094E8
1750000.0,-2.436735353730608E8,-3.053423670339649E7,5338885.730996121,2.456372022986624E8
1760000.0,-2.4363429744192198E8,-3.075392397769065E7,5333319.546162635,2.456255667218418E8
1770000.0,-2.4359484145408008E8,-3.097358372676869E7,5327748.587924303,2.456139136468732E8
1780000.0,-2.4355516741381708E8,-3.119321575008608E7,5322172.860588452,2.456022430816988E8
1790000.0,-2.4351527532556647E8,-3.1412819847060397E7,5316592.368467067,2.4559055503427398E8
1800000.0,-2.434751651939144E8,-3.1632395817071706E7,5311007.115876538,2.4557884951256835E8
1810000.0,-2.4343483702360186E8,-3.185194345946201E7,5305417.107137911,2.4556712652456778E8
