dt, 1000.0
universe, Universe
G, 6.67E-11
Body Name, Earth
Initial Pos X, 1.392249254417041E8
Initial Pos Y, 5.364591584781469E7
Initial Pos Z, -2404.13046965003
,
time, x, y, z
999000.0,1.2533226506108123E8,8.007871979401022E7,-4382.623482040779
1999000.0,1.063870652400146E8,1.0329019126811995E8,-4491.548714323051
2999000.0,8.314613349125968E7,1.223079471310571E8,-5604.235381373024
3999000.0,5.649639105468507E7,1.363410883799658E8,-5275.881409514084
4999000.0,2.7529311281810075E7,1.4475162257976922E8,-4694.134918658547
5999000.0,-2571197.01721699,1.471996117997221E8,-4134.296311658821
6999000.0,-3.2576627895648863E7,1.4353723442830008E8,-1827.0913718267313
7999000.0,-6.121659467589533E7,1.3393260428879365E8,-688.8873293647911
8999000.0,-8.734216381398174E7,1.1878657188571198E8,2466.450561333105
9999000.0,-1.0985284836840935E8,9.873226891244154E7,4602.136567873033
1.0999E7,-1.278675339129007E8,7.464251927800663E7,7364.956854276251
1.1999E7,-1.4067579471010333E8,4.749352620381489E7,10206.91847598856
1.2999E7,-1.4779604336873823E8,1.8439808619813338E7,11922.113086592011
1.3999E7,-1.4901872716323695E8,-1.1364425469305204E7,14585.977098311732
1.4999E7,-1.443223755487519E8,-4.071903047835964E7,15173.950946649009
1.5999E7,-1.3398351169756468E8,-6.847307498699343E7,16473.923506590814
1.6999E7,-1.1843212511170578E8,-9.358536853510763E7,16003.232056352219
1.7999E7,-9.832958656248187E7,-1.1508444771741681E8,15046.146922972153
1.8999E7,-7.448222370360364E7,-1.3221488385845898E8,13679.230798333527
1.9999E7,-4.7802556688650295E7,-1.4433076074865687E8,10421.470373459317
2.0999E7,-1.9339815602886815E7,-1.5102179788923627E8,7989.644756195566
2.1999E7,9865979.5443208,-1.520586225788369E8,3309.1017501300225
2.2999E7,3.869065198867201E7,-1.4740051525901416E8,-568.8280834689983
2.3999E7,6.6076373267153926E7,-1.372516487637863E8,-5340.168801079954
2.4999E7,9.099263832913755E7,-1.2195013418192607E8,-10399.164076544352
2.5999E7,1.1248271782907878E8,-1.0208497230066925E8,-14406.827140760763
2.6999E7,1.2974505127505127E8,-7.836153607583141E7,-19482.139815881183
2.7999E7,1.4206278340945578E8,-5.166184937184404E7,-22424.849938698248
2.8999E7,1.489571920220997E8,-2.299526183015494E7,-25909.34149808397
2.9999E7,1.5009115799006146E8,6574113.492978339,-27554.126300001633
3.0999E7,1.4537329982106102E8,3.586858066514302E7,-28249.146785448946
3.1999E7,1.3494011902788702E8,6.376459547694909E7,-28276.297856198646
3.2999E7,1.1912653169383413E8,8.91147200415466E7,-25796.859332973112
3.3999E7,9.854888360768309E7,1.1088720072183985E8,-23583.78302198921
3.4999E7,7.396636006089357E7,1.281781783320242E8,-18529.007755005467
3.5999E7,4.637791150568733E7,1.4022742088444093E8,-13552.619929628836
3.6999E7,1.688627061586184E7,1.4654221563644454E8,-7268.343556646937
3.7999E7,-1.330800463229143E7,1.4680678517344177E8,76.4027663872359
3.8999E7,-4.293961266851017E7,1.4102447630612504E8,6612.406963504545
3.9999E7,-7.081847056310242E7,1.2942209944189706E8,14774.538588636275
4.0999E7,-9.576742724815997E7,1.1248580911586429E8,21038.173927669726
4.1999E7,-1.1680275194330813E8,9.095143456103948E7,27817.32393567429
4.2999E7,-1.3307762159964523E8,6.5692463319652915E7,33033.61956691342
4.3999E7,-1.439661255193342E8,3.7791445075830944E7,36806.28006412217
4.4999E7,-1.4909813927715698E8,8361584.976652236,39974.61735954006
4.5999E7,-1.4829453020386896E8,-2.1399129976766143E7,40169.25759950435
4.6999E7,-1.416787890365338E8,-5.031547758506024E7,40171.89212462906
4.7999E7,-1.295387920708604E8,-7.728988262082537E7,37020.870582483025
4.8999E7,-1.124112238534769E8,-1.0127195881005107E8,33040.635557395544
4.9999E7,-9.099669324587671E7,-1.2140701334083296E8,27398.274166671392
5.0999E7,-6.612295694515375E7,-1.3693479364970273E8,19713.042486776154
5.1999E7,-3.877826896374278E7,-1.4731759620435613E8,12321.649588152199
5.2999E7,-9964767.628013778,-1.5219531612055808E8,2477.6754487708845
5.3999E7,1.920927062976935E7,-1.5138796141860792E8,-6318.263897048332
5.4999E7,4.767329308689729E7,-1.4496483316112074E8,-16073.50442448888
5.5999E7,7.436860964036539E7,-1.3313030061498186E8,-25362.290583212707
5.6999E7,9.827809218331453E7,-1.1634332147165725E8,-33214.812086266786
5.7999E7,1.1852589944678077E8,-9.519727703006308E7,-41249.51996394696
5.8999E7,1.3429570174771714E8,-7.046366418891567E7,-46293.83714520194
5.9999E7,1.4498680926081023E8,-4.307272069218054E7,-50999.42264364002
