            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2458784.500000000, A.D. 2019-Oct-28 00:00:00.0000,  3.497156754817167E-01, -1.614606472634601E-01, -4.527495525922191E-02,  6.297483257186647E-03,  2.681874771773825E-02,  1.613773803256300E-03,  2.239981126803812E-03,  3.878407093976771E-01, -5.674771207846157E-03,
2458785.500000000, A.D. 2019-Oct-29 00:00:00.0000,  3.551079592860658E-01, -1.342496643160874E-01, -4.354609133495667E-02,  4.468852986593052E-03,  2.758538573120090E-02,  1.844169337271640E-03,  2.206980382992687E-03,  3.821268077325231E-01, -5.748641110677049E-03,
2458786.500000000, A.D. 2019-Oct-30 00:00:00.0000,  3.586171770391330E-01, -1.063279499700188E-01, -4.158640656981756E-02,  2.531661749225633E-03,  2.823775951151759E-02,  2.075186710263358E-03,  2.173631818389540E-03,  3.763526827640981E-01, -5.794738151206691E-03,
2458787.500000000, A.D. 2019-Oct-31 00:00:00.0000,  3.601359796083127E-01, -7.781732699654018E-02, -3.939600793409365E-02,  4.886260307794211E-04,  2.876054903774857E-02,  2.305324858510619E-03,  2.140104314358331E-03,  3.705475753941302E-01, -5.810098282090373E-03,
2458788.500000000, A.D. 2019-Nov-01 00:00:00.0000,  3.595606788905183E-01, -4.885553019573873E-02, -3.697663848538137E-02, -1.655581054575525E-03,  2.913726987271118E-02,  2.532808076794504E-03,  2.106584319420395E-03,  3.647437681833588E-01, -5.791609148413543E-03,
2458789.500000000, A.D. 2019-Nov-02 00:00:00.0000,  3.567934138158602E-01, -1.959729695546315E-02, -3.433196518199729E-02, -3.893904645805302E-03,  2.935043674811532E-02,  2.755560387253021E-03,  2.073276566760028E-03,  3.589767095837753E-01, -5.736061712848218E-03,
2458790.500000000, A.D. 2019-Nov-03 00:00:00.0000,  3.517447582198738E-01,  9.784757538959724E-03, -3.146788963424655E-02, -6.216452174955952E-03,  2.938183487803791E-02,  2.971185881918088E-03,  2.040404429137791E-03,  3.532850753899559E-01, -5.640224920765559E-03,
2458791.500000000, A.D. 2019-Nov-04 00:00:00.0000,  3.443367917995616E-01,  3.909960088833100E-02, -2.839287389772377E-02, -8.610027551452496E-03,  2.921292445494956E-02,  3.176959044071463E-03,  2.008209765807491E-03,  3.477107422335603E-01, -5.500947605568212E-03,
2458792.500000000, A.D. 2019-Nov-05 00:00:00.0000,  3.345066287869210E-01,  6.813772528204795E-02, -2.511826893300551E-02, -1.105768804688007E-02,  2.882540224226196E-02,  3.369829989085157E-03,  1.976952093745391E-03,  3.422986440861161E-01, -5.315291015520720E-03,
2458793.500000000, A.D. 2019-Nov-06 00:00:00.0000,  3.222103598093738E-01,  9.667173732251230E-02, -2.165862801649043E-02, -1.353836987855100E-02,  2.820193822524654E-02,  3.546450312161327E-03,  1.946906900598992E-03,  3.370964801551564E-01, -5.080693553979919E-03,
2458794.500000000, A.D. 2019-Nov-07 00:00:00.0000,  3.074273094060216E-01,  1.244577751752205E-01, -1.803198150363830E-02, -1.602664239806817E-02,  2.732709320237020E-02,  3.703225519140132E-03,  1.918362915696413E-03,  3.321542423741400E-01, -4.795166281659449E-03,
