dt, 100.0
universe, Universe
G, 6.67E-11
Body Name, Moon
Initial Pos X, 1.395568087983253E8
Initial Pos Y, 5.386639327467763E7
Initial Pos Z, -34749.11364024505
,
time, x, y, z, magnitude
0.0,1.395556329095473E8,5.386924136315833E7,-34745.836220548976,1.4959168108253768E8
100000.0,1.383423482468393E8,5.669870728994792E7,-30486.051507786367,1.495103663837404E8
200000.0,1.3705732144259912E8,5.948699593951702E7,-24441.723938923777,1.494102159971865E8
300000.0,1.3570593266897672E8,6.222888778428915E7,-16973.44142479461,1.4929345238329846E8
400000.0,1.3429463887482193E8,6.492040340923507E7,-8557.606197301557,1.4916336307072616E8
500000.0,1.3283071343426642E8,6.755912433688596E7,231.1928975553858,1.4902427222662917E8
600000.0,1.3132188132275937E8,7.014448904650573E7,8747.603475248357,1.4888144926170227E8
700000.0,1.297758206935834E8,7.26780306728983E7,16315.808628689,1.4874091584157154E8
800000.0,1.2819950814169511E8,7.516348233583394E7,22285.87972070243,1.486090961592937E8
900000.0,1.2659843425708793E8,7.760663141151364E7,26105.771629125687,1.4849226739766642E8
1000000.0,1.2497581637952738E8,8.001480103270176E7,27399.793359067233,1.4839583489701074E8
1100000.0,1.2333204273565614E8,8.239593036456797E7,26033.40903531595,1.483235746054242E8
1200000.0,1.2166459546264201E8,8.475741216354819E7,22139.92438806436,1.4827708250409493E8
1300000.0,1.1996854573559482E8,8.71050125402624E7,16095.37637284831,1.482556421678916E8
1400000.0,1.1823746332618397E8,8.944219186782491E7,8450.086598286785,1.4825654620061627E8
1500000.0,1.164644214257642E8,9.176994993684104E7,-157.169518490808,1.4827570660588005E8
1600000.0,1.1464281401803648E8,9.408708700082234E7,-9075.710711561362,1.4830831004580605E8
1700000.0,1.1276686690462604E8,9.639066166910836E7,-17696.05056288923,1.4834933852782884E8
1800000.0,1.108318754060325E8,9.86764555834078E7,-25479.205866329095,1.4839389523060745E8
1900000.0,1.0883427122962771E8,1.0093934547723846E8,-31969.49610953247,1.4843736416922173E8
2000000.0,1.0677162045314817E8,1.03173564281816E8,-36799.439579203776,1.484754681925735E8
2100000.0,1.0464262303392947E8,1.0537288001478623E8,-39693.37398791164,1.48504289411436E8
2200000.0,1.0244714835111322E8,1.0753073988010699E8,-40473.580749846304,1.4852030117983526E8
2300000.0,1.00186310245667E8,1.096404287468883E8,-39069.97619072071,1.4852044271044162E8
2400000.0,9.786255959786537E7,1.1169528242251602E8,-35532.03319801377,1.4850224896955854E8
2500000.0,9.547975319854291E7,1.1368897837475647E8,-30039.597468252385,1.484640292364717E8
2600000.0,9.304314816069202E7,1.1561590076506512E8,-22908.012935034163,1.484050688290226E8
2700000.0,9.055927631663074E7,1.1747154779910633E8,-14582.993473062717,1.4832581461759546E8
2800000.0,8.803567387038678E7,1.1925292716006991E8,-5622.204105491887,1.4822800188111293E8
2900000.0,8.548047072736074E7,1.2095887886454594E8,3336.967719594599,1.481146895587147E8
3000000.0,8.290186847860467E7,1.2259027506354111E8,11621.605296694086,1.4799018708164486E8
3100000.0,8.030754709833026E7,1.2415006286922231E8,18576.309935043555,1.4785986803883493E8
3200000.0,7.770404200580253E7,1.2564312571163206E8,23621.67378866301,1.4772986746292022E8
3300000.0,7.509614059446326E7,1.2707593774848883E8,26314.05870893856,1.47606656283756E8
3400000.0,7.248637354832008E7,1.284559895802036E8,26400.130709923957,1.474964959115398E8
3500000.0,6.987471305628273E7,1.297909982917516E8,23855.790310145396,1.4740481447824574E8
3600000.0,6.72586003635333E7,1.3108799262720093E8,18897.109937850688,1.4733560836061096E8
3700000.0,6.46333656923603E7,1.3235245303296594E8,11954.992505563028,1.472910178099387E8
3800000.0,6.199297544756194E7,1.3358771573028512E8,3616.4143613607607,1.4727120157028645E8
3900000.0,5.93309160322391E7,1.347947720898135E8,-5452.432938000696,1.472745334730292E8
4000000.0,5.664098906254154E7,1.3597244608552548E8,-14580.540636755159,1.4729802425374296E8
4100000.0,5.391786824406359E7,1.3711780981856295E8,-23148.500509897836,1.473378119196728E8
4200000.0,5.115738981464851E7,1.3822666512159896E8,-30621.92649685228,1.4738958722036287E8
4300000.0,4.8356640004026264E7,1.3929396613837337E8,-36565.786734639485,1.4744888935524085E8
4400000.0,4.551393536973004E7,1.4031413083381093E8,-40647.521146989864,1.475112716937548E8
4500000.0,4.262878011870946E7,1.4128124823259836E8,-42636.60425955858,1.4757237483502927E8
4600000.0,3.970185460316887E7,1.4218922152896708E8,-42405.990470863246,1.476279572987883E8
4700000.0,3.673505698389568E7,1.4303190082887974E8,-39938.16168722468,1.476739335881228E8
4800000.0,3.373158950588722E7,1.4380326058321974E8,-35335.743628872224,1.4770646273462057E8
4900000.0,3.069605090532176E7,1.4449766730590308E8,-28833.80161364028,1.4772211828097263E8
5000000.0,2.763446911342894E7,1.451102589145453E8,-20808.099655851078,1.477181490488032E8
